5114144	25903
7438764	24202
13561705	21848
13472547	18269
8052273	17973
17569149	17585
13648500	15110
13170753	14754
4941185	14691
13416013	14441
14184123	14067
1833099	14005
6124599	13752
8765865	13745
3531325	13533
3204345	13487
5381749	13225
8359376	13152
11535433	12870
9025856	12520
9124146	12272
11015272	12229
7345119	12148
17700568	12133
7356813	11848
3199413	11776
6688656	11589
6742954	10947
12667165	10921
12842200	10647
4894476	10606
3436941	10580
15698831	10548
9941980	10332
3792248	10128
2197022	10035
16192763	10025
4481228	10014
8907808	9968
3143533	9871
4804815	9860
17582744	9709
17720693	9666
12016758	9588
7665310	9494
7702072	9420
2088695	9381
13999800	9138
10745672	9087
9150906	9064
7444866	9044
3168603	9034
7289899	8944
14686613	8908
12081439	8854
14532394	8835
664250	8807
11080038	8756
2169291	8743
16547310	8738
14156711	8589
16524868	8577
3811812	8560
13157918	8545
3622798	8385
4060508	8367
2562933	8359
5691110	8320
11908615	8299
3413734	8261
17315923	8206
15857005	8141
579094	8130
7997253	8127
1648646	8067
1728747	8023
8961257	8001
16240547	7974
818135	7940
3266825	7935
3027966	7845
13823195	7814
2648295	7761
1643071	7748
9346426	7740
7511483	7646
8997604	7608
13294869	7608
18064692	7515
12936174	7506
6238885	7502
9122767	7443
13030643	7415
12627539	7413
14152713	7411
3720623	7340
13582341	7312
16722132	7218
14119190	7173
4268345	7080
