13648500	292
3199413	179
17569149	174
1648646	170
6568519	160
8152939	154
17700568	153
3531325	145
10745672	138
3204345	135
2648295	133
9122767	126
4941185	123
9609363	120
13902468	120
15356558	119
7665310	116
9124146	115
9025856	115
15698831	114
13170753	113
8052273	112
283352	112
2944053	111
9161954	108
12667165	106
4570104	105
14184123	104
13252064	102
13696585	101
2849588	99
8663844	98
5114144	98
1615899	97
7238348	97
2611079	96
12936174	96
5145517	96
2799559	94
7438764	94
3578386	94
17314681	93
5381749	93
8765865	92
6238885	92
9150906	91
2088695	91
17262753	90
3907680	89
9161361	87
13526648	87
7356813	87
3436941	86
5691110	85
6742954	85
6688656	85
7993213	85
13999800	84
14213000	84
6887283	84
870294	84
18166695	82
10404328	82
4288928	82
7289899	81
16547310	81
4060508	81
7774460	79
3974098	79
7843377	79
7647343	79
7154389	79
12789197	79
3353495	78
6563925	78
18489733	78
1890723	77
7275895	77
2193894	77
7345119	76
5712632	76
12661355	76
2088221	75
8881358	75
12627539	75
11549554	75
9241659	74
16974413	73
9549517	73
2736479	73
13729587	73
12715776	73
17293039	73
4804815	72
1833099	72
9337397	72
12010524	72
15776236	72
8152434	72
13084235	71
